 ,X,Y
1,20.000,20.000
2,91.500,19.500
3,21.500,79.500
4,65.500,103.500
5,157.500,51.500
6,191.500,131.500
7,139.500,143.500
8,305.500,123.500
9,313.500,77.500
10,305.500,179.500
11,287.500,213.500
12,261.500,275.500
13,237.500,299.500
14,145.500,303.500
15,49.500,231.500
16,11.500,273.500
17,49.500,295.500
18,113.500,355.500
19,161.500,247.500
20,175.500,375.500
21,197.500,429.500
22,47.500,445.500
23,81.500,499.500
24,133.500,523.500
25,95.500,555.500
26,111.500,595.500
27,27.500,547.500
28,217.500,555.500
29,165.500,591.500
30,105.500,659.500
31,25.500,667.500
32,21.500,709.500
33,37.500,751.500
34,37.500,829.500
35,5.500,887.500
36,73.500,863.500
37,135.500,805.500
38,189.500,671.500
39,145.500,623.500
40,217.500,775.500
41,217.500,885.500
42,251.500,799.500
43,213.500,749.500
44,255.500,711.500
45,283.500,735.500
46,239.500,627.500
47,289.500,655.500
48,253.500,547.500
49,251.500,573.500
50,275.500,573.500
51,275.500,427.500
52,313.500,455.500
53,275.500,491.500
54,347.500,395.500
55,353.500,311.500
56,379.500,251.500
57,381.500,133.500
58,355.500,37.500
59,425.500,35.500
60,465.500,83.500
61,509.500,91.500
62,479.500,159.500
63,475.500,207.500
64,439.500,257.500
65,471.500,299.500
66,365.500,465.500
67,365.500,511.500
68,269.500,323.500
69,333.500,513.500
70,355.500,691.500
71,355.500,791.500
72,469.500,855.500
73,453.500,471.500
74,437.500,493.500
75,491.500,435.500
76,509.500,485.500
77,541.500,559.500
78,509.500,595.500
79,371.500,623.500
80,461.500,725.500
81,471.500,767.500
82,527.500,751.500
83,519.500,839.500
84,523.500,667.500
85,523.500,719.500
86,561.500,603.500
87,495.500,387.500
88,519.500,349.500
89,553.500,221.500
90,509.500,263.500
91,571.500,131.500
92,617.500,49.500
93,671.500,199.500
94,875.500,31.500
95,807.500,91.500
96,849.500,91.500
97,825.500,137.500
98,701.500,159.500
99,665.500,143.500
100,627.500,251.500
101,585.500,287.500
102,569.500,339.500
103,597.500,347.500
104,553.500,393.500
105,579.500,427.500
106,565.500,513.500
107,625.500,491.500
108,609.500,639.500
109,573.500,741.500
110,617.500,771.500
111,601.500,887.500
112,685.500,885.500
113,697.500,847.500
114,709.500,791.500
115,693.500,751.500
116,649.500,703.500
117,669.500,671.500
118,669.500,591.500
119,733.500,621.500
120,699.500,695.500
121,749.500,687.500
122,725.500,535.500
123,659.500,295.500
124,685.500,267.500
125,701.500,299.500
126,761.500,275.500
127,801.500,227.500
128,863.500,223.500
129,863.500,191.500
130,865.500,295.500
131,813.500,309.500
132,735.500,355.500
133,755.500,351.500
134,687.500,343.500
135,639.500,389.500
136,711.500,443.500
137,793.500,451.500
138,821.500,397.500
139,789.500,527.500
140,847.500,571.500
141,777.500,567.500
142,815.500,763.500
143,821.500,843.500
144,101.500,735.500
145,197.500,181.500
146,713.500,123.500
147,749.500,67.500
148,615.500,203.500
149,839.500,487.500
150,375.500,187.500
151,389.500,403.500
152,451.500,641.500
153,457.500,559.500
154,453.500,415.500
155,497.500,43.500
156,753.500,413.500
157,119.500,217.500
158,43.500,335.500
159,95.500,829.500
160,447.500,371.500
161,663.500,69.500
