 ,X,Y
1,10.000,48.000
2,59.500,31.500
3,53.500,69.500
4,99.500,63.500
5,135.500,75.500
6,139.500,35.500
7,231.500,19.500
8,293.500,39.500
9,343.500,39.500
10,425.500,53.500
11,417.500,9.500
12,501.500,11.500
13,543.500,39.500
14,577.500,11.500
15,611.500,23.500
16,675.500,51.500
17,775.500,13.500
18,735.500,55.500
19,771.500,71.500
20,845.500,25.500
21,855.500,85.500
22,871.500,125.500
23,831.500,149.500
24,789.500,175.500
25,749.500,115.500
26,735.500,145.500
27,687.500,165.500
28,705.500,115.500
29,687.500,87.500
30,623.500,125.500
31,557.500,101.500
32,479.500,65.500
33,555.500,73.500
34,529.500,119.500
35,485.500,119.500
36,449.500,115.500
37,401.500,95.500
38,355.500,105.500
39,299.500,119.500
40,267.500,77.500
41,239.500,119.500
42,195.500,91.500
43,157.500,131.500
44,79.500,115.500
45,55.500,129.500
46,45.500,195.500
47,91.500,167.500
48,91.500,223.500
49,139.500,171.500
50,139.500,211.500
51,211.500,203.500
52,267.500,199.500
53,327.500,209.500
54,325.500,163.500
55,385.500,163.500
56,399.500,195.500
57,461.500,167.500
58,459.500,207.500
59,527.500,165.500
60,523.500,195.500
61,491.500,241.500
62,547.500,257.500
63,575.500,213.500
64,599.500,167.500
65,651.500,215.500
66,687.500,231.500
67,759.500,271.500
68,791.500,235.500
69,833.500,227.500
70,841.500,295.500
71,879.500,193.500
72,737.500,335.500
73,779.500,369.500
74,867.500,353.500
75,697.500,367.500
76,659.500,347.500
77,647.500,301.500
78,599.500,319.500
79,571.500,351.500
80,541.500,307.500
81,595.500,287.500
82,503.500,325.500
83,469.500,265.500
84,427.500,251.500
85,367.500,287.500
86,469.500,335.500
87,375.500,249.500
88,285.500,247.500
89,261.500,275.500
90,223.500,249.500
91,123.500,251.500
92,169.500,251.500
93,57.500,249.500
94,27.500,323.500
95,47.500,287.500
96,117.500,333.500
97,39.500,383.500
98,91.500,413.500
99,141.500,395.500
100,171.500,371.500
101,167.500,329.500
102,211.500,389.500
103,279.500,335.500
104,253.500,387.500
105,265.500,425.500
106,319.500,375.500
107,309.500,425.500
108,321.500,303.500
109,363.500,347.500
110,357.500,415.500
111,391.500,381.500
112,455.500,379.500
113,427.500,409.500
114,387.500,447.500
115,495.500,407.500
116,577.500,391.500
117,529.500,371.500
118,625.500,377.500
119,691.500,401.500
120,683.500,435.500
121,779.500,435.500
122,825.500,451.500
123,879.500,411.500
124,721.500,491.500
125,767.500,511.500
126,839.500,515.500
127,811.500,539.500
128,693.500,531.500
129,667.500,475.500
130,623.500,453.500
131,587.500,429.500
132,543.500,449.500
133,543.500,483.500
134,491.500,467.500
135,523.500,531.500
136,565.500,533.500
137,595.500,479.500
138,641.500,519.500
139,467.500,519.500
140,435.500,451.500
141,395.500,495.500
142,401.500,531.500
143,349.500,487.500
144,291.500,529.500
145,265.500,463.500
146,203.500,455.500
147,143.500,455.500
148,163.500,499.500
149,239.500,511.500
150,139.500,543.500
151,111.500,519.500
152,55.500,471.500
153,15.500,499.500
154,41.500,549.500
155,87.500,545.500
156,79.500,591.500
157,9.500,591.500
158,55.500,629.500
159,83.500,627.500
160,129.500,597.500
161,199.500,579.500
162,165.500,623.500
163,125.500,655.500
164,71.500,687.500
165,267.500,591.500
166,267.500,623.500
167,247.500,667.500
168,355.500,579.500
169,325.500,611.500
170,401.500,603.500
171,437.500,581.500
172,475.500,559.500
173,531.500,579.500
174,607.500,595.500
175,623.500,559.500
176,659.500,609.500
177,707.500,603.500
178,755.500,583.500
179,775.500,559.500
180,803.500,617.500
181,859.500,607.500
182,871.500,647.500
183,883.500,715.500
184,815.500,699.500
185,773.500,683.500
186,739.500,659.500
187,659.500,653.500
188,615.500,655.500
189,539.500,657.500
190,555.500,695.500
191,667.500,713.500
192,723.500,701.500
193,769.500,743.500
194,839.500,761.500
195,847.500,813.500
196,763.500,795.500
197,763.500,831.500
198,709.500,829.500
199,709.500,857.500
200,657.500,795.500
201,615.500,749.500
202,567.500,731.500
203,567.500,783.500
204,625.500,847.500
205,547.500,867.500
206,523.500,831.500
207,505.500,873.500
208,491.500,805.500
209,503.500,753.500
210,427.500,695.500
211,469.500,659.500
212,387.500,675.500
213,391.500,737.500
214,467.500,721.500
215,447.500,771.500
216,443.500,823.500
217,461.500,873.500
218,399.500,855.500
219,365.500,799.500
220,329.500,737.500
221,281.500,695.500
222,175.500,695.500
223,171.500,739.500
224,243.500,731.500
225,209.500,695.500
226,297.500,757.500
227,269.500,801.500
228,315.500,805.500
229,299.500,841.500
230,339.500,861.500
231,235.500,853.500
232,47.500,731.500
233,43.500,679.500
234,11.500,775.500
235,81.500,757.500
236,125.500,759.500
237,151.500,803.500
238,195.500,837.500
239,199.500,791.500
240,167.500,869.500
241,109.500,821.500
242,53.500,845.500
243,23.500,835.500
244,23.500,871.500
245,231.500,879.500
246,79.500,799.500
247,421.500,659.500
248,713.500,769.500
