 ,X,Y
1,74.000,14.000
2,199.500,9.500
3,281.500,15.500
4,329.500,13.500
5,395.500,7.500
6,443.500,29.500
7,659.500,9.500
8,741.500,57.500
9,795.500,41.500
10,847.500,43.500
11,355.500,53.500
12,413.500,51.500
13,233.500,59.500
14,45.500,83.500
15,195.500,61.500
16,13.500,101.500
17,43.500,181.500
18,87.500,173.500
19,175.500,117.500
20,255.500,113.500
21,307.500,125.500
22,299.500,165.500
23,447.500,121.500
24,465.500,83.500
25,569.500,61.500
26,713.500,105.500
27,793.500,81.500
28,861.500,81.500
29,829.500,143.500
30,869.500,177.500
31,783.500,135.500
32,785.500,185.500
33,681.500,175.500
34,711.500,217.500
35,515.500,153.500
36,471.500,181.500
37,421.500,209.500
38,341.500,193.500
39,127.500,209.500
40,217.500,173.500
41,243.500,209.500
42,45.500,243.500
43,81.500,269.500
44,139.500,281.500
45,173.500,253.500
46,213.500,257.500
47,265.500,257.500
48,313.500,237.500
49,355.500,263.500
50,461.500,245.500
51,569.500,227.500
52,613.500,257.500
53,577.500,285.500
54,645.500,227.500
55,701.500,301.500
56,761.500,273.500
57,57.500,327.500
58,41.500,379.500
59,83.500,409.500
60,133.500,389.500
61,217.500,389.500
62,277.500,327.500
63,357.500,405.500
64,397.500,407.500
65,459.500,299.500
66,573.500,349.500
67,645.500,347.500
68,709.500,385.500
69,773.500,455.500
70,881.500,481.500
71,725.500,419.500
72,627.500,437.500
73,479.500,455.500
74,433.500,473.500
75,297.500,449.500
76,341.500,461.500
77,73.500,485.500
78,137.500,497.500
79,217.500,489.500
80,29.500,529.500
81,51.500,623.500
82,85.500,573.500
83,177.500,545.500
84,137.500,625.500
85,55.500,725.500
86,25.500,761.500
87,59.500,799.500
88,85.500,765.500
89,21.500,851.500
90,167.500,713.500
91,171.500,665.500
92,197.500,611.500
93,247.500,549.500
94,317.500,529.500
95,369.500,523.500
96,407.500,561.500
97,329.500,603.500
98,285.500,629.500
99,305.500,689.500
100,281.500,743.500
101,205.500,711.500
102,171.500,799.500
103,201.500,837.500
104,249.500,781.500
105,431.500,645.500
106,539.500,513.500
107,499.500,549.500
108,503.500,615.500
109,485.500,709.500
110,377.500,763.500
111,367.500,853.500
112,319.500,809.500
113,417.500,811.500
114,449.500,765.500
115,523.500,761.500
116,537.500,721.500
117,601.500,655.500
118,679.500,513.500
119,715.500,551.500
120,685.500,585.500
121,743.500,573.500
122,745.500,625.500
123,651.500,689.500
124,655.500,741.500
125,587.500,765.500
126,555.500,809.500
127,485.500,863.500
128,599.500,857.500
129,605.500,811.500
130,665.500,837.500
131,733.500,811.500
132,725.500,665.500
133,733.500,733.500
134,703.500,837.500
135,531.500,677.500
136,873.500,841.500
137,857.500,605.500
138,769.500,719.500
139,85.500,677.500
140,163.500,355.500
141,509.500,373.500
142,569.500,419.500
143,569.500,449.500
144,643.500,487.500
145,817.500,321.500
146,97.500,95.500
